chamber,candidate_name,district,party,slug,status
House,Brian Smith,Orleans-1,Republican,brian-smith,ok
House,Lynn D. Batchelor,Orleans-1,Republican,lynn-d.-batchelor,ok
House,Michael J. Marcotte,Orleans-2,Republican,michael-j.-marcotte,ok
House,"Woodman ""Woody"" H. Page",Orleans-2,Republican,woody-page,ok
House,Sam Young,Orleans-Caledonia,Democratic,sam-young,ok
House,Vicki Strong,Orleans-Caledonia,Republican,vicki-strong,ok
House,Mark Higley,Orleans-Lamoille,Republican,mark-higley,ok
House,Patricia A. McCoy,Rutland-1,Republican,patricia-a.-mccoy,ok
House,Dave Potter,Rutland-2,Democratic,dave-potter,ok
House,"Thomas ""Tom"" Burditt",Rutland-2,Republican,tom-burditt,ok
House,"William ""Bill"" Canfield",Rutland-3,Republican,bill-canfield,ok
House,"Robert ""Bob"" Helm",Rutland-3,Republican,bob-helm,ok
House,Thomas Terenzini,Rutland-4,Republican,thomas-terenzini,ok
House,Peter J. Fagan,Rutland-5-1,Republican,peter-j.-fagan,ok
House,"Larry ""Cooper"" Cupoli",Rutland-5-2,Republican,cooper-cupoli,ok
House,Mary E. Howard,Rutland-5-3,Democratic,mary-e.-howard,ok
House,William Notte,Rutland-5-4,Democratic,william-notte,ok
House,Stephanie Jerome,Rutland-6,Democratic,stephanie-jerome,ok
House,"Charles ""Butch"" Shaw",Rutland-6,Republican,butch-shaw,ok
House,Robin Chesnut-Tangerman,Rutland-Bennington,Progressive,robin-chesnut-tangerman,ok
House,James Harrison,Rutland-Windsor-1,Republican,james-harrison,ok
House,Logan Nicoll,Rutland-Windsor-2,Democratic,logan-nicoll,ok
House,Anne B. Donahue,Washington-1,Republican,anne-b.-donahue,ok
House,Kenneth W. Goslant,Washington-1,Republican,kenneth-w.-goslant,ok
House,"Francis ""Topper"" McFaun",Washington-2,Republican,topper-mcfaun,ok
House,Rob LaClair,Washington-2,Republican,rob-laclair,ok
